"dates","BA","DM","DO","DS","NA","OL","OT","PB","PE","PF","PH","PI","PL","PM","PP","RF","RM","RO","SF","SH","SO"
1977-07-16,0,13,0,2,2,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,0
1977-08-19,0,20,1,3,2,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0
1977-09-11,0,21,0,8,4,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0
1977-10-16,0,21,3,12,4,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1977-11-12,0,16,1,9,5,2,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0
1977-12-10,0,17,1,13,5,1,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1978-01-08,0,19,0,9,4,2,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1978-02-18,0,15,0,9,2,1,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0
1978-03-11,0,11,1,12,1,1,5,0,2,3,0,0,0,0,0,0,1,0,0,0,0
1978-04-08,0,14,1,15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1978-05-17,0,16,2,17,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,0,0
1978-06-08,0,13,3,19,2,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0
1978-07-07,0,17,2,19,1,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1978-08-04,0,17,1,15,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
1978-09-03,0,21,1,17,4,1,3,0,2,2,0,0,0,0,4,0,0,0,0,0,0
1978-10-06,0,15,2,13,4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0
1978-11-04,0,15,3,7,2,3,6,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1978-12-02,0,14,2,7,2,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-01-28,0,15,1,3,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1979-02-24,0,15,1,7,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1979-03-31,0,10,2,12,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
1979-04-28,0,7,1,11,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-05-29,0,12,2,15,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-07-03,0,7,1,8,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1979-07-24,0,6,1,11,1,1,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1979-08-21,0,7,1,9,2,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1979-09-22,0,10,0,6,0,1,6,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1979-10-24,0,10,4,8,4,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1979-11-17,0,14,2,7,4,5,3,0,0,1,0,0,0,0,1,0,2,0,0,0,0
1980-01-15,0,22,5,6,5,8,3,0,0,3,0,0,0,0,0,0,1,0,0,0,0
1980-02-24,0,12,3,5,1,7,0,0,1,2,0,0,0,0,0,0,2,0,0,0,0
1980-03-21,0,14,1,10,1,3,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0
1980-04-17,0,12,2,11,0,3,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0
1980-05-17,0,11,3,15,4,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1980-06-22,0,14,5,17,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1980-07-21,0,10,5,14,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1980-08-13,0,11,3,12,2,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1980-09-07,0,9,1,13,2,1,5,0,0,2,0,0,0,0,3,0,0,0,0,0,0
1980-10-11,0,8,1,11,1,6,3,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1980-11-08,0,11,3,11,1,6,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1980-12-15,0,21,2,10,2,2,5,0,1,3,0,0,0,0,0,0,0,0,0,0,0
1981-01-11,0,13,4,9,1,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0
1981-01-31,0,18,5,11,1,4,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
1981-03-08,0,15,3,14,0,1,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1981-05-03,0,17,5,16,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1981-06-04,0,18,4,18,3,1,2,0,1,3,0,0,0,0,1,0,0,0,0,0,0
1981-07-07,0,17,4,10,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
1981-07-30,0,15,2,7,1,1,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0
1981-08-30,0,13,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1981-09-29,0,9,0,7,3,0,3,0,3,0,0,0,0,0,0,0,1,0,0,0,0
1981-10-24,0,15,1,7,3,4,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0
1981-11-22,0,25,1,11,4,3,4,0,3,1,0,0,0,0,0,0,1,0,0,0,0
1981-12-30,0,17,3,13,3,2,2,0,4,1,0,0,0,0,0,0,5,0,0,0,0
1982-01-24,0,24,0,5,4,5,3,0,4,0,0,0,0,0,0,0,4,0,0,0,0
1982-02-22,0,34,3,15,3,4,2,0,5,0,0,0,0,0,0,0,12,0,0,0,0
1982-03-29,0,22,4,9,3,2,3,0,5,1,0,0,0,1,0,0,6,0,0,0,0
1982-04-28,0,18,4,16,2,1,1,0,2,1,0,0,0,2,2,0,2,0,0,0,0
1982-05-21,0,16,4,18,4,3,1,0,2,1,0,0,0,0,1,0,1,0,0,1,0
1982-06-28,0,21,3,20,5,3,2,0,1,2,0,0,0,0,2,0,0,0,0,1,0
1982-07-25,0,26,4,21,4,2,3,0,1,3,0,0,0,0,3,0,1,0,0,0,0
1982-08-15,0,34,5,15,3,3,1,0,3,7,0,0,0,1,5,0,1,0,0,0,0
1982-09-18,0,27,5,11,2,6,5,0,0,5,0,0,0,1,0,0,0,0,0,0,0
1982-11-21,0,30,5,14,4,8,4,0,2,12,0,0,0,0,0,0,2,0,0,0,0
1983-01-12,0,26,6,15,3,4,1,0,1,6,0,0,0,1,0,0,7,0,0,0,0
1983-02-26,0,25,9,8,0,2,1,0,2,2,0,0,0,1,0,0,5,0,0,0,0
1983-03-14,0,29,6,13,0,2,2,0,2,9,0,0,0,0,0,0,7,0,0,0,0
1983-04-16,0,20,5,20,3,2,0,0,4,10,0,0,0,2,0,0,3,0,0,0,0
1983-05-14,0,18,3,14,1,0,3,0,2,3,0,0,0,1,2,0,2,0,0,0,0
1983-06-17,0,14,8,16,3,1,4,0,0,1,0,0,0,0,1,0,1,0,0,0,0
1983-07-16,0,16,5,5,4,0,5,0,0,0,0,0,0,0,3,0,1,0,0,0,0
1983-08-15,0,17,5,10,6,0,4,0,0,3,0,0,0,0,3,0,0,0,0,0,0
1983-09-10,0,20,11,18,9,0,2,0,0,3,0,0,0,0,2,0,0,0,0,0,0
1983-10-15,0,23,7,14,4,1,8,0,0,2,0,0,0,0,0,0,1,0,0,0,0
1983-11-12,0,21,9,17,3,1,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1983-12-08,0,17,5,13,4,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1984-02-04,0,17,5,9,0,2,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0
1984-03-12,0,14,6,9,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1984-04-09,0,8,2,10,2,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0
1984-05-27,0,13,4,3,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-07-03,0,17,6,1,4,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1984-07-31,0,14,4,3,4,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1984-08-25,0,11,4,0,4,2,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0
1984-09-29,0,23,4,3,3,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1984-10-20,0,29,8,3,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1984-12-30,0,18,6,1,0,3,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0
1985-01-19,0,21,10,1,0,2,3,0,1,0,0,0,0,2,0,0,1,0,0,0,0
1985-02-16,0,23,5,1,0,7,1,0,3,0,0,0,0,1,0,0,0,0,0,0,0
1985-03-16,0,16,10,1,0,7,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1985-05-23,0,19,7,3,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1985-06-15,0,23,7,5,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1985-07-23,0,24,7,4,6,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1985-08-19,0,23,7,2,5,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1985-09-21,0,28,8,4,2,3,5,0,1,0,0,0,0,0,4,0,1,0,0,0,0
1985-10-12,0,27,11,6,5,6,9,0,3,0,0,0,0,0,2,0,0,0,0,0,0
1985-11-16,0,33,8,8,3,3,5,0,5,0,0,0,0,0,0,0,1,0,0,0,0
1985-12-07,0,31,7,6,2,3,4,0,2,0,0,0,0,0,0,0,3,0,0,0,0
1986-03-08,0,24,9,9,4,4,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0
1986-04-12,0,24,5,8,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
1986-05-10,0,20,3,8,6,1,2,0,4,0,0,0,0,1,1,0,1,0,0,0,0
1986-06-04,0,20,6,2,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-07-03,0,25,7,5,5,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1986-08-09,0,19,2,6,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-09-06,0,19,3,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1986-10-04,0,16,4,5,3,3,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0
1986-11-15,0,21,8,5,0,6,2,0,0,0,0,0,0,3,0,0,3,0,0,0,0
1986-12-14,0,19,5,4,2,4,1,0,0,0,0,0,0,3,0,0,3,0,0,0,0
1987-01-31,0,21,4,6,6,4,1,0,4,0,0,0,0,0,0,0,6,0,0,0,0
1987-03-01,0,21,8,6,1,8,0,0,2,0,0,0,0,1,0,0,3,0,0,0,0
1987-04-04,0,19,6,7,4,4,2,0,3,0,0,0,0,3,2,0,2,0,0,0,0
1987-04-25,0,17,7,8,6,3,0,0,5,0,0,0,0,2,2,0,0,0,0,0,0
1987-05-28,0,18,7,7,5,6,1,0,3,0,0,0,0,3,1,0,1,0,0,0,0
1987-06-30,0,26,8,9,3,3,0,0,3,0,0,0,0,1,1,0,2,0,0,0,0
1987-07-25,0,25,9,5,6,3,0,0,6,0,0,0,0,1,1,0,2,0,0,1,0
1987-08-25,0,18,8,4,6,5,3,0,3,0,0,0,0,1,1,0,2,0,0,0,0
1987-09-26,0,17,7,5,8,2,7,0,1,0,0,0,0,2,4,0,1,0,0,0,0
1987-10-24,0,18,6,4,5,3,2,0,8,1,0,0,0,1,1,0,3,0,0,2,0
1987-11-21,0,25,7,3,5,5,2,0,13,1,0,0,0,1,0,0,9,0,0,0,0
1988-01-23,0,22,10,3,3,2,1,0,8,0,0,0,0,1,0,0,7,0,0,1,0
1988-02-21,0,28,11,3,3,3,3,0,4,0,0,0,0,0,0,0,4,0,0,1,0
1988-03-20,0,33,13,3,3,3,1,0,2,0,0,0,0,0,1,0,6,0,0,0,0
1988-04-17,0,17,10,6,4,5,4,0,2,1,0,0,0,0,1,0,1,0,0,1,0
1988-05-14,0,19,11,4,3,0,2,0,3,0,0,0,0,0,1,0,0,0,0,1,0
1988-06-11,0,21,9,4,5,4,1,0,5,0,0,0,0,0,1,0,0,0,0,1,0
1988-07-14,0,18,8,4,5,0,4,0,1,0,0,0,0,0,1,0,1,0,0,1,0
1988-08-09,0,19,10,4,4,2,3,0,6,0,0,0,0,0,2,0,1,0,0,0,0
1988-09-11,0,15,4,2,3,0,3,0,1,0,0,0,0,0,2,0,0,0,0,1,0
1988-10-08,0,24,5,3,2,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1988-11-05,0,21,4,4,1,4,6,0,7,0,1,0,0,0,0,0,2,0,0,2,0
1988-12-13,0,22,6,4,2,3,2,0,5,0,0,0,0,0,0,2,10,0,0,1,0
1989-01-10,0,22,3,3,2,5,4,0,7,0,0,0,0,0,0,1,9,0,0,3,0
1989-02-04,0,22,8,3,1,7,3,0,8,0,0,0,0,0,0,1,16,0,0,2,0
1989-03-12,0,16,4,5,4,5,0,0,5,0,0,0,0,2,0,0,14,0,0,3,0
1989-04-01,0,18,4,4,3,3,1,0,3,0,0,0,0,0,1,1,8,0,0,2,0
1989-05-09,0,22,5,3,4,2,1,0,1,0,0,0,0,0,0,0,3,0,0,2,0
1989-06-03,0,21,4,3,3,0,0,0,3,0,0,0,0,0,0,1,5,0,0,1,0
1989-07-03,0,17,4,3,4,1,2,0,1,0,0,0,0,0,1,2,2,0,0,2,0
1989-07-29,0,24,6,2,2,0,5,0,2,0,0,0,0,0,1,1,2,0,0,0,0
1989-09-03,0,16,8,1,1,1,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0
1989-10-07,0,22,7,2,2,1,4,0,5,1,0,0,0,0,1,0,1,0,0,2,0
1989-11-04,0,20,10,2,2,5,7,0,5,1,1,0,0,0,2,1,4,0,1,1,0
1989-12-04,0,25,13,2,1,0,3,0,5,0,1,0,0,0,0,1,12,0,2,0,0
1990-01-06,0,21,12,2,1,0,4,0,2,0,0,0,0,0,0,0,3,0,3,0,0
1990-01-29,0,25,10,1,1,0,2,0,1,0,1,0,0,0,0,0,3,0,1,0,0
1990-02-24,0,27,13,1,3,1,2,0,1,0,1,0,0,0,0,0,5,0,3,0,0
1990-03-29,0,30,14,2,1,1,3,0,2,0,1,0,0,0,0,0,6,0,2,1,0
1990-04-24,0,27,13,1,2,1,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0
1990-05-23,0,27,10,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1990-06-21,0,24,11,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-07-21,0,26,7,1,0,1,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0
1990-08-16,0,25,10,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-09-22,0,21,7,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1990-10-15,0,34,6,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-11-10,0,32,7,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1990-12-15,0,37,8,1,2,7,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0
1991-01-11,0,31,10,1,1,6,4,0,0,0,0,0,0,0,0,0,7,0,0,0,0
1991-02-16,0,31,7,1,1,4,5,0,0,0,0,0,0,0,0,0,3,0,1,0,0
1991-03-13,0,35,8,1,1,0,2,0,0,0,0,0,0,0,0,0,5,0,0,0,0
1991-04-19,0,24,7,1,4,3,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
1991-05-13,0,21,5,1,3,1,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0
1991-06-13,0,24,6,1,0,3,2,0,1,0,0,0,0,0,1,0,2,0,0,0,0
1991-07-12,0,22,4,1,3,0,2,0,0,1,0,0,0,0,5,0,1,0,0,0,0
1991-08-07,0,24,2,1,1,0,6,0,0,1,0,0,0,0,4,0,1,0,0,0,0
1991-09-09,0,21,3,1,1,0,6,0,1,1,0,0,0,0,2,0,0,0,0,0,0
1991-10-10,1,23,5,1,0,0,6,0,3,3,0,0,0,0,3,0,2,0,0,0,0
1991-11-13,0,25,5,1,1,1,10,0,1,2,0,0,0,0,0,0,10,0,0,0,1
1991-12-07,0,25,9,0,0,1,7,0,3,1,0,0,0,0,0,0,6,0,0,0,0
1992-01-08,0,20,6,1,0,1,5,0,2,0,0,0,0,0,0,0,5,0,0,0,0
1992-02-06,0,21,6,1,0,2,5,0,6,0,0,0,0,0,0,0,6,0,0,0,1
1992-03-07,0,22,5,1,0,1,2,0,6,0,0,0,0,0,0,0,5,0,0,0,0
1992-04-04,0,27,5,2,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0
1992-05-02,0,22,4,1,0,1,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1
1992-05-30,0,24,2,2,1,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1992-07-03,0,19,7,2,1,0,1,0,0,0,0,0,0,0,7,0,1,0,0,0,0
1992-07-30,0,13,6,1,1,1,2,0,0,0,0,0,0,0,5,0,1,0,0,0,0
1992-08-29,0,14,7,2,1,2,2,0,0,1,0,0,0,0,10,0,0,0,0,0,1
1992-09-26,0,19,4,2,2,2,0,0,1,3,0,0,0,0,11,0,1,0,0,0,1
1992-10-18,0,24,4,1,2,5,2,0,0,4,0,0,0,0,1,0,2,0,0,0,0
1992-12-21,0,14,0,2,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0
1993-01-23,0,13,1,2,2,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0
1993-02-19,0,13,1,1,0,1,0,0,0,3,0,0,0,0,1,0,3,0,0,0,0
1993-03-17,0,33,1,2,0,1,2,0,1,3,0,0,0,0,3,0,1,0,0,0,0
1993-04-23,0,12,1,2,0,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0
1993-05-22,0,15,3,3,0,1,3,0,1,1,0,0,0,0,2,0,0,0,0,0,0
1993-06-18,0,15,2,3,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1993-07-14,0,15,1,1,1,1,0,0,0,3,0,0,0,0,2,0,1,0,0,0,0
1993-08-19,0,16,1,0,0,0,1,0,0,4,0,0,0,0,2,0,0,0,0,0,1
1993-09-16,0,10,2,1,2,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1993-10-15,0,18,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1993-11-13,0,18,2,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1993-12-14,0,16,3,1,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1994-02-01,0,17,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-02-20,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1994-03-11,0,24,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-04-10,0,29,2,2,1,0,3,0,0,1,0,0,0,0,2,0,0,0,0,0,0
1994-05-18,0,19,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-06-14,0,14,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1994-07-08,0,14,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1994-08-17,0,13,0,1,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
1994-09-06,0,13,0,1,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
1994-10-12,0,23,3,1,1,2,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0
1994-11-01,0,20,4,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
1994-12-04,0,20,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-01-11,0,16,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-02-04,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1995-03-04,0,23,4,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1995-04-01,0,24,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0
1995-04-29,0,20,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1995-06-07,0,27,1,0,1,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
1995-06-27,0,26,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0
1995-07-20,0,29,2,0,0,0,1,0,0,3,0,1,0,0,18,0,0,0,0,0,0
1995-08-26,0,25,0,0,0,4,2,0,0,3,0,0,0,0,24,0,0,0,0,0,0
1995-09-23,0,26,2,0,1,1,3,0,0,11,0,0,0,0,26,0,0,0,0,0,0
1995-10-28,0,33,0,0,2,0,3,0,0,12,0,0,0,0,18,0,1,0,0,0,0
1995-12-02,0,35,3,0,2,1,2,0,0,9,0,0,0,0,2,0,1,0,0,0,0
1995-12-21,0,33,0,0,1,0,6,0,0,6,0,0,0,1,1,0,2,0,0,0,0
1996-01-27,0,40,8,0,0,1,0,1,2,5,0,0,0,0,0,0,1,0,0,0,0
1996-02-24,0,42,8,0,0,0,0,0,4,9,0,0,0,2,2,0,2,0,0,0,0
1996-03-23,0,25,5,0,0,1,2,0,5,4,0,0,0,3,8,0,4,0,0,0,0
1996-04-14,0,38,12,0,0,1,1,0,3,15,0,0,0,2,13,0,9,0,0,0,0
